file,role,account,viewport,route,page_or_workflow,state,appendix_section,chapter_4_candidate,captured_at,commit,notes
alumni/alumni__history__submitted-list__mobile.png,alumni,demo-alumni@cloie.test,390x844,/alumni/history,Review submission history on mobile,Submitted program-wide evaluations across academic periods,E-9.6,FALSE,2026-09-14,e18c0e4,
alumni/alumni__profile__program-affiliation__desktop.png,alumni,demo-alumni@cloie.test,1440x900,/alumni/profile,View profile and program affiliation,Program affiliation and verification status with privacy notice,E-9.2,FALSE,2026-09-14,e18c0e4,Program affiliation and verification status with privacy notice.
alumni/alumni__profile__program-affiliation__mobile.png,alumni,demo-alumni@cloie.test,390x844,/alumni/profile,View profile on mobile,Program affiliation and verification status,E-9.6,FALSE,2026-09-14,e18c0e4,
dean/dean__academic-structure__default__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/academic-structure,Academic Structure landing,default,E-9.3,FALSE,2026-09-14,e18c0e4,"Canonical Dean management entry; /dean/programs, /dean/courses, /dean/course-assignments and /dean/instruments redirect here."
dean/dean__college-oversight__default__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/college-oversight,College Oversight landing,default,E-9.3,FALSE,2026-09-14,e18c0e4,
dean/dean__college-oversight__default__mobile.png,dean,demo-dean@cloie.test,390x844,/dean/college-oversight,College Oversight landing,default,E-9.6,FALSE,2026-09-14,e18c0e4,
dean/dean__course-assignments__default__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/academic-structure/course-assignments,Course assignments (all-program),default list,E-9.3,FALSE,2026-09-14,e18c0e4,
dean/dean__course-assignments__default__mobile.png,dean,demo-dean@cloie.test,390x844,/dean/academic-structure/course-assignments,Course assignments (all-program),default list,E-9.6,FALSE,2026-09-14,e18c0e4,
dean/dean__course-form__edit-existing-course__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/academic-structure/courses/b90dfe20-d57f-4360-9215-ff97a11eed15/edit,Course record maintenance,existing course edit form (not saved),E-9.3,FALSE,2026-09-14,e18c0e4,Existing course record with values; not saved.
dean/dean__courses__default__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/academic-structure/courses,Course catalog,default list,E-9.3,FALSE,2026-09-14,e18c0e4,
dean/dean__courses__default__mobile.png,dean,demo-dean@cloie.test,390x844,/dean/academic-structure/courses,Course catalog,default list,E-9.6,FALSE,2026-09-14,e18c0e4,
dean/dean__dashboard__default__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/dashboard,Dean dashboard,default (active period KPIs),E-9.3,FALSE,2026-09-14,e18c0e4,
dean/dean__dashboard__default__mobile.png,dean,demo-dean@cloie.test,390x844,/dean/dashboard,Dean dashboard,default,E-9.6,FALSE,2026-09-14,e18c0e4,
dean/dean__instrument-builder__existing-template__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/academic-structure/instruments/d69c589c-4b8b-4dcb-b630-eea6babe1dc9/edit,Instrument builder,existing institutional baseline open for editing,E-9.3,FALSE,2026-09-14,e18c0e4,Existing institutional baseline open for editing; not saved.
dean/dean__instruments__default__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/academic-structure/instruments,Institutional evaluation tools,default list,E-9.3,FALSE,2026-09-14,e18c0e4,
dean/dean__instruments__default__mobile.png,dean,demo-dean@cloie.test,390x844,/dean/academic-structure/instruments,Institutional evaluation tools,default list,E-9.6,FALSE,2026-09-14,e18c0e4,
dean/dean__learning-outcomes__active-period__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/college-oversight/learning-outcomes?period=7a0211d0-5fa8-46e0-abff-9aed2f7d78a9,Learning outcome oversight,active period selected,E-9.3,FALSE,2026-09-14,e18c0e4,Active period selected (2026-2027 - 2nd Semester - 2nd Term). Route id resolved at capture time from the running app (seeded UUID).
dean/dean__learning-outcomes__active-period__mobile.png,dean,demo-dean@cloie.test,390x844,/dean/college-oversight/learning-outcomes?period=7a0211d0-5fa8-46e0-abff-9aed2f7d78a9,Learning outcome oversight,active period selected,E-9.6,FALSE,2026-09-14,e18c0e4,Active period selected; responsive composition. Route id resolved at capture time from the running app (seeded UUID).
dean/dean__learning-outcomes__completed-period-empty-snapshot__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/college-oversight/learning-outcomes?period=fda3bf25-5bab-45ec-a57e-0f679caae194,Learning outcome oversight,completed period snapshot with no recorded programs/outcomes (empty state),E-9.7,FALSE,2026-09-14,e18c0e4,2026-2027 - 1st Semester - 1st Term snapshot with no recorded programs/outcomes (genuine empty state). The two 2025-2026 periods render the app error boundary instead - see README follow-up note. Route id resolved at capture time from the running app (seeded UUID).
dean/dean__learning-outcomes__risk-filter__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/college-oversight/learning-outcomes?period=7a0211d0-5fa8-46e0-abff-9aed2f7d78a9&risk=missing-cilos,Learning outcome oversight (primary workflow),risk bucket filtered to missing-cilos,E-9.3,FALSE,2026-09-14,e18c0e4,Primary oversight workflow; risk bucket filtered to missing-cilos. Route id resolved at capture time from the running app (seeded UUID).
dean/dean__learning-outcomes__risk-filter__mobile.png,dean,demo-dean@cloie.test,390x844,/dean/college-oversight/learning-outcomes?period=7a0211d0-5fa8-46e0-abff-9aed2f7d78a9&risk=missing-cilos,Learning outcome oversight (primary workflow),risk bucket filtered to missing-cilos,E-9.6,FALSE,2026-09-14,e18c0e4,Primary oversight workflow; risk bucket filtered to missing-cilos. Route id resolved at capture time from the running app (seeded UUID).
dean/dean__navigation__drawer-open__mobile.png,dean,demo-dean@cloie.test,390x844,/dean/dashboard,Primary navigation,mobile navigation drawer open,E-9.6,FALSE,2026-09-14,e18c0e4,
dean/dean__profile__college-wide-scope__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/profile,Dean profile and scope,college-wide scope,E-9.2,FALSE,2026-09-14,e18c0e4,College-wide scope surface.
dean/dean__profile__college-wide-scope__mobile.png,dean,demo-dean@cloie.test,390x844,/dean/profile,Dean profile and scope,college-wide scope,E-9.6,FALSE,2026-09-14,e18c0e4,College-wide scope surface.
dean/dean__programs__default__desktop.png,dean,demo-dean@cloie.test,1440x900,/dean/academic-structure/programs,Programs management,default list,E-9.3,FALSE,2026-09-14,e18c0e4,
dean/dean__programs__default__mobile.png,dean,demo-dean@cloie.test,390x844,/dean/academic-structure/programs,Programs management,default list,E-9.6,FALSE,2026-09-14,e18c0e4,
faculty/faculty__analytics__cilo-results__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/analytics?view=cilos,CILO results view (aggregate CILO evidence),default,E-9.4,FALSE,2026-09-14,e18c0e4,
faculty/faculty__analytics__cilo-results__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/analytics?view=cilos,"Same CILO results view, responsive layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,
faculty/faculty__analytics__overview__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/analytics,"Faculty analytics Overview with evidence-scope filters (term, course, class, evaluation, status)","default, all evidence",E-9.4,FALSE,2026-09-14,e18c0e4,
faculty/faculty__analytics__overview__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/analytics,"Same analytics Overview, responsive filter layout","default, all evidence",E-9.6,FALSE,2026-09-14,e18c0e4,
faculty/faculty__analytics__written-feedback__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/analytics?view=qualitative,"Written feedback view — aggregate term cloud only (""Individual students and individual submissions are never shown"")","default (aggregate, above the confidentiality floor)",E-9.4,FALSE,2026-09-14,e18c0e4,Aggregate term cloud only; individual students and submissions are never shown.
faculty/faculty__analytics__written-feedback__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/analytics?view=qualitative,"Same written-feedback view, responsive layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,Aggregate term cloud only; individual students and submissions are never shown.
faculty/faculty__cilo-alignment__workspace__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/cilos/65f5e114-f38d-40b0-8a32-e2b6020af5eb/alignment,"Course alignment workspace — GEETHICS: Ethics, CILO × ILO L/P/O classification matrix","default, ""0 of 2 CILOs covered"", 0 staged changes",E-9.4,FALSE,2026-09-14,e18c0e4,"CILO x ILO L/P/O matrix; 0 of 2 CILOs covered, 0 staged changes; grid scrolls inside its own container."
faculty/faculty__cilo-alignment__workspace__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/cilos/65f5e114-f38d-40b0-8a32-e2b6020af5eb/alignment,"Same alignment workspace, responsive layout","default, 0 staged changes",E-9.6,FALSE,2026-09-14,e18c0e4,CILO x ILO L/P/O matrix; 0 staged changes; grid scrolls inside its own container.
faculty/faculty__cilo-evaluation-publish__form__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/cilo-evaluations/new?templateId=10bb1830-7edd-49f3-bd9a-356599f55e68,"Course-bound evaluation publication form (deployment name, class assignment, activation/deadline, saved CILO bindings, Preview Respondents)","unsubmitted form, no publish action taken",E-9.4,FALSE,2026-09-14,e18c0e4,Unsubmitted publication form; no publish action taken. Secondary appendix support: E-9.7.
faculty/faculty__cilo-evaluation-publish__form__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/cilo-evaluations/new?templateId=10bb1830-7edd-49f3-bd9a-356599f55e68,"Same publication form, responsive layout","unsubmitted form, no publish action taken",E-9.6,FALSE,2026-09-14,e18c0e4,Unsubmitted publication form; no publish action taken.
faculty/faculty__cilos-new__form__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/cilos/new,"Create-CILO form (Course picker, CILO description, Add / Save CILOs)","empty form, nothing typed",E-9.4,FALSE,2026-09-14,e18c0e4,Empty create-CILO form; nothing typed. Secondary appendix support: E-9.7.
faculty/faculty__cilos-new__form__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/cilos/new,"Same create-CILO form, responsive layout","empty form, nothing typed",E-9.6,FALSE,2026-09-14,e18c0e4,Empty create-CILO form; nothing typed.
faculty/faculty__cilos__default__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/cilos,Manage CILOs: owned courses for the current period with View CILOs / Map CILOs / Prepare questions,default,E-9.4,FALSE,2026-09-14,e18c0e4,
faculty/faculty__cilos__default__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/cilos,"Same CILO course list, responsive layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,
faculty/faculty__course-roster-detail__add-student-open__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/course-rosters/1bd6fa2b-dc2c-4908-9848-5100af2c6dc8,"""Manage roster"" wizard, step 1 of 3, ""Import from CSV"" tab (upload + Prepare preview)","dialog open, no file chosen, nothing written",E-9.7,FALSE,2026-09-14,e18c0e4,"Manage-roster wizard step 1 of 3 (Import from CSV); no file chosen, nothing written."
faculty/faculty__course-roster-detail__add-student-open__mobile.png,faculty,demo-faculty@cloie.test,390x844,/course-rosters/1bd6fa2b-dc2c-4908-9848-5100af2c6dc8,Same manage-roster wizard as a mobile bottom sheet,"sheet open, no file chosen, nothing written",E-9.7,FALSE,2026-09-14,e18c0e4,"Manage-roster wizard presented as a mobile bottom sheet; no file chosen, nothing written."
faculty/faculty__course-roster-detail__default__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/course-rosters/1bd6fa2b-dc2c-4908-9848-5100af2c6dc8,"Course roster detail — ITRES1 · Capstone Project 1 (readiness summary, member table, Manage roster entry)","default (7 on roster, 7 eligible, 0 needing attention)",E-9.4,FALSE,2026-09-14,e18c0e4,
faculty/faculty__course-roster-detail__default__mobile.png,faculty,demo-faculty@cloie.test,390x844,/course-rosters/1bd6fa2b-dc2c-4908-9848-5100af2c6dc8,"Same roster detail, responsive layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,
faculty/faculty__course-rosters__default__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/course-rosters,My Course Rosters: owned active assignments with active-roster and evaluation-eligible counts,default (list view),E-9.4,FALSE,2026-09-14,e18c0e4,Owned active assignments with active-roster and evaluation-eligible counts.
faculty/faculty__course-rosters__default__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/course-rosters,"Same roster list, responsive layout",default (list view),E-9.6,FALSE,2026-09-14,e18c0e4,
faculty/faculty__dashboard__default__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/dashboard,"Faculty dashboard: current evaluation work, response progress, quick actions, response evidence",default,E-9.2,FALSE,2026-09-14,e18c0e4,Secondary appendix support: E-9.4.
faculty/faculty__dashboard__default__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/dashboard,"Faculty dashboard, responsive layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,
faculty/faculty__evaluation-summary__published__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/tools/published/6b875783-578f-490f-b71b-c8043f3a6687,"Published evaluation summary: course/schedule/target cards, response progress, named respondent status (explicitly ""Answer bodies are not displayed or linked here"")",default (read-only),E-9.4,FALSE,2026-09-14,e18c0e4,Read-only summary; respondent status only - answer bodies are explicitly not displayed.
faculty/faculty__evaluation-summary__published__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/tools/published/6b875783-578f-490f-b71b-c8043f3a6687,"Same evaluation summary, responsive layout",default (read-only),E-9.6,FALSE,2026-09-14,e18c0e4,Read-only summary; respondent status only - answer bodies are explicitly not displayed.
faculty/faculty__instrument-builder__edit__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/tools/10bb1830-7edd-49f3-bd9a-356599f55e68/edit,Instrument builder editing a faculty template bound to ITRES1 (three CILO-bound Likert questions),"default, ""No pending changes""",E-9.4,FALSE,2026-09-14,e18c0e4,Existing faculty template bound to ITRES1; no pending changes.
faculty/faculty__instrument-builder__edit__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/tools/10bb1830-7edd-49f3-bd9a-356599f55e68/edit,"Same instrument builder, responsive layout","default, no pending changes",E-9.6,FALSE,2026-09-14,e18c0e4,Existing faculty template; no pending changes.
faculty/faculty__navigation__drawer-open__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/dashboard,"Role navigation drawer (Dashboard, My Course Rosters, Manage CILOs, Tools, Analytics, Profile)",drawer open,E-9.6,FALSE,2026-09-14,e18c0e4,
faculty/faculty__profile__default__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/profile,Faculty profile with program affiliation (BSIT),default,E-9.2,FALSE,2026-09-14,e18c0e4,
faculty/faculty__profile__default__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/profile,"Same profile/affiliation cards, responsive layout",default,E-9.2,FALSE,2026-09-14,e18c0e4,Secondary appendix support: E-9.6.
faculty/faculty__tools-new-blank__builder__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/tools/new/blank,"Instrument builder — blank draft (name, description, Course-bound type, sections/questions)","empty draft, unsaved (no record created)",E-9.4,FALSE,2026-09-14,e18c0e4,"Empty draft, unsaved (no record created)."
faculty/faculty__tools-new-from-template__builder__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/tools/new/from/81bf2fc6-6e8a-4d71-aeb6-201d671ed482,Instrument builder pre-filled from a shared template (copy is created only on first save),"pre-save draft, unsaved",E-9.4,FALSE,2026-09-14,e18c0e4,Pre-save draft copied from a shared template; the copy is created only on first save.
faculty/faculty__tools-new__selection__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/tools/new,"New-template chooser: Blank template plus shared-template cards (""Use this template"")",default,E-9.4,FALSE,2026-09-14,e18c0e4,
faculty/faculty__tools-new__selection__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/tools/new,"Same chooser, responsive layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,
faculty/faculty__tools__published-tab__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/tools?tab=published,Published evaluations collection with per-row View Details,default,E-9.4,FALSE,2026-09-14,e18c0e4,
faculty/faculty__tools__published-tab__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/tools?tab=published,"Same published collection, responsive layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,
faculty/faculty__tools__templates__desktop.png,faculty,demo-faculty@cloie.test,1440x900,/faculty/tools,"Evaluation Tools → Templates tab (My Templates with Edit/Duplicate/Publish, Available Templates)",default,E-9.4,FALSE,2026-09-14,e18c0e4,
faculty/faculty__tools__templates__mobile.png,faculty,demo-faculty@cloie.test,390x844,/faculty/tools,"Same tools list, responsive layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,
gen-ed-coordinator/gen-ed-coordinator__analytics__default__desktop.png,gen-ed-coordinator,demo-gened@cloie.test,1440x900,/gen-ed-coordinator/analytics,"Cross-program General Education evidence: KPI band, mean rating by course, trends, qualitative feedback","default, all periods",E-9.3,FALSE,2026-09-14,e18c0e4,
gen-ed-coordinator/gen-ed-coordinator__analytics__default__mobile.png,gen-ed-coordinator,demo-gened@cloie.test,390x844,/gen-ed-coordinator/analytics,"Same analytics workspace, responsive KPI band above the fold","default, all periods",E-9.6,FALSE,2026-09-14,e18c0e4,
gen-ed-coordinator/gen-ed-coordinator__course-assignments__assign-faculty-dialog-open__desktop.png,gen-ed-coordinator,demo-gened@cloie.test,1440x900,/gen-ed-coordinator/course-assignments,"""Assign Faculty to Course"" wizard, step 2 of 5 (Course), Course scope fixed to General Education","dialog open at step 2, nothing entered",E-9.7,FALSE,2026-09-14,e18c0e4,Assign-faculty wizard step 2 of 5 (Course) with scope fixed to General Education; nothing entered.
gen-ed-coordinator/gen-ed-coordinator__course-assignments__default__desktop.png,gen-ed-coordinator,demo-gened@cloie.test,1440x900,/gen-ed-coordinator/course-assignments,"General Education assignment management list (18 assignments, SCOPE = GE, filters, bulk selection)",default,E-9.3,FALSE,2026-09-14,e18c0e4,
gen-ed-coordinator/gen-ed-coordinator__course-assignments__default__mobile.png,gen-ed-coordinator,demo-gened@cloie.test,390x844,/gen-ed-coordinator/course-assignments,"Same assignment list, responsive card layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,
gen-ed-coordinator/gen-ed-coordinator__courses__create-dialog-open__desktop.png,gen-ed-coordinator,demo-gened@cloie.test,1440x900,/gen-ed-coordinator/courses,"""Add General Education Course"" dialog (Course Code, Course Title, default year level/semester/term)","dialog open, nothing entered/submitted",E-9.7,FALSE,2026-09-14,e18c0e4,Create dialog open; nothing entered or submitted.
gen-ed-coordinator/gen-ed-coordinator__courses__create-dialog-open__mobile.png,gen-ed-coordinator,demo-gened@cloie.test,390x844,/gen-ed-coordinator/courses,Same create dialog on mobile,"dialog open, nothing entered/submitted",E-9.7,FALSE,2026-09-14,e18c0e4,Create dialog open on mobile; nothing entered or submitted.
gen-ed-coordinator/gen-ed-coordinator__courses__default__desktop.png,gen-ed-coordinator,demo-gened@cloie.test,1440x900,/gen-ed-coordinator/courses,"College-wide General Education course catalog list (filters, per-row Edit/Archive)",default,E-9.3,FALSE,2026-09-14,e18c0e4,
gen-ed-coordinator/gen-ed-coordinator__courses__default__mobile.png,gen-ed-coordinator,demo-gened@cloie.test,390x844,/gen-ed-coordinator/courses,"Same catalog list, responsive layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,
gen-ed-coordinator/gen-ed-coordinator__courses__edit-dialog-open__desktop.png,gen-ed-coordinator,demo-gened@cloie.test,1440x900,/gen-ed-coordinator/courses,"""Edit GESTECH"" correction dialog pre-filled from the catalog","dialog open, unchanged",E-9.7,FALSE,2026-09-14,e18c0e4,Edit dialog pre-filled from the catalog; unchanged.
gen-ed-coordinator/gen-ed-coordinator__dashboard__default__desktop.png,gen-ed-coordinator,demo-gened@cloie.test,1440x900,/gen-ed-coordinator/dashboard,"Coordinator dashboard: coverage KPIs, needs-attention list, evidence pulse, quick actions",default,E-9.2,FALSE,2026-09-14,e18c0e4,Secondary appendix support: E-9.3.
gen-ed-coordinator/gen-ed-coordinator__dashboard__default__mobile.png,gen-ed-coordinator,demo-gened@cloie.test,390x844,/gen-ed-coordinator/dashboard,"Coordinator dashboard, responsive layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,
gen-ed-coordinator/gen-ed-coordinator__navigation__drawer-open__mobile.png,gen-ed-coordinator,demo-gened@cloie.test,390x844,/gen-ed-coordinator/dashboard,"Role navigation drawer (Dashboard, Outcomes, Courses, Course Assignments, Analytics, Profile)",drawer open,E-9.6,FALSE,2026-09-14,e18c0e4,
gen-ed-coordinator/gen-ed-coordinator__outcomes-mapping__default__desktop.png,gen-ed-coordinator,demo-gened@cloie.test,1440x900,/gen-ed-coordinator/outcomes/mapping,"College-wide CILO-to-ILO mapping review (read-only; per-course cards, Aligned / Needs-mapping badges)",default,E-9.3,FALSE,2026-09-14,e18c0e4,College-wide CILO-to-ILO mapping review; includes non-seeded dev-DB ILO columns.
gen-ed-coordinator/gen-ed-coordinator__outcomes-mapping__default__mobile.png,gen-ed-coordinator,demo-gened@cloie.test,390x844,/gen-ed-coordinator/outcomes/mapping,"Same mapping review, responsive layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,College-wide CILO-to-ILO mapping review; includes non-seeded dev-DB ILO columns.
gen-ed-coordinator/gen-ed-coordinator__outcomes__create-dialog-open__desktop.png,gen-ed-coordinator,demo-gened@cloie.test,1440x900,/gen-ed-coordinator/outcomes,"""Add Institutional Learning Outcome"" dialog (ILO Code, Description)","dialog open, nothing entered",E-9.7,FALSE,2026-09-14,e18c0e4,Create dialog open; nothing entered.
gen-ed-coordinator/gen-ed-coordinator__outcomes__create-dialog-open__mobile.png,gen-ed-coordinator,demo-gened@cloie.test,390x844,/gen-ed-coordinator/outcomes,Same create dialog on mobile,"dialog open, nothing entered",E-9.7,FALSE,2026-09-14,e18c0e4,Create dialog open on mobile; nothing entered.
gen-ed-coordinator/gen-ed-coordinator__outcomes__default__desktop.png,gen-ed-coordinator,demo-gened@cloie.test,1440x900,/gen-ed-coordinator/outcomes,Institutional Learning Outcome catalog with reorder handles and per-ILO Edit/Archive,default,E-9.3,FALSE,2026-09-14,e18c0e4,"ILO catalog includes ILO-JRXR and ILO-39F5 left in the dev database by the e2e gen-ed coordinator journey (non-seeded, pre-existing)."
gen-ed-coordinator/gen-ed-coordinator__outcomes__default__mobile.png,gen-ed-coordinator,demo-gened@cloie.test,390x844,/gen-ed-coordinator/outcomes,"Same ILO catalog, responsive layout",default,E-9.6,FALSE,2026-09-14,e18c0e4,"ILO catalog includes ILO-JRXR and ILO-39F5 left in the dev database by the e2e gen-ed coordinator journey (non-seeded, pre-existing)."
