program_code,major_name,course_scope,course_code,course_title,year_level,semester,term
BSBA,Financial Management,PROGRAM_SPECIFIC,FM 302,Investment & Portfolio Management,THIRD_YEAR,SECOND,FIRST_TERM
BSBA,Human Resource Development Management,PROGRAM_SPECIFIC,HRDME 1,Human Behavior Organization,SECOND_YEAR,FIRST,FIRST_TERM
BSBA,Human Resource Development Management,PROGRAM_SPECIFIC,HRDM 201,Labor Law and Legislation,SECOND_YEAR,SECOND,FIRST_TERM
BSBA,Human Resource Development Management,PROGRAM_SPECIFIC,HRDM 300,Organizational Development,THIRD_YEAR,FIRST,FIRST_TERM
BSBA,Human Resource Development Management,PROGRAM_SPECIFIC,HRDM 303,Compensation Administration,THIRD_YEAR,SECOND,FIRST_TERM
BSBA,Marketing Management,PROGRAM_SPECIFIC,MM 200,Marketing Management,SECOND_YEAR,FIRST,FIRST_TERM
BSBA,Marketing Management,PROGRAM_SPECIFIC,MM 201,Marketing Research,SECOND_YEAR,SECOND,FIRST_TERM
BSBA,Marketing Management,PROGRAM_SPECIFIC,MM 300,Pricing Strategy,THIRD_YEAR,FIRST,FIRST_TERM
BSBA,Marketing Management,PROGRAM_SPECIFIC,MM 303,Distribution Management,THIRD_YEAR,SECOND,FIRST_TERM
BSBA,,PROGRAM_SPECIFIC,HRDM 200,Human Resource Management,SECOND_YEAR,FIRST,FIRST_TERM
BSBA,,PROGRAM_SPECIFIC,ACCTG 200,Advanced Accounting,SECOND_YEAR,FIRST,FIRST_TERM
BSBA,,PROGRAM_SPECIFIC,ECON,Basic Microeconomics,SECOND_YEAR,FIRST,SECOND_TERM
BSBA,,PROGRAM_SPECIFIC,BASOC,Good Governance and Social Responsibility,THIRD_YEAR,FIRST,FIRST_TERM
BSBA,,PROGRAM_SPECIFIC,BUSRES 1,Business Research,THIRD_YEAR,FIRST,FIRST_TERM
